"Entry","MaleText","FemaleText","LanguageId","EmoteId1","EmoteId2","EmoteId3","EmoteDelay1","EmoteDelay2","EmoteDelay3"
"566","This is a dangerous line of business!$B$BMiran just left with a delivery. He should be back in a few minutes.","","7","0","0","0","0","0","0"
"2461","Lots to do, lots to do! The Union's given us deadlines and they're not the sort you want to miss!","","0","5","0","0","0","0","0"
"2464","Director Riddlevox put me in charge of the Union's shredder development program. Few months on the job and I'm already in hot water! I could use your help, $n!","","0","0","0","0","0","0","0"
"2465","See, the Venture Company's new shredder is better than my latest, from the interchangeable hands to the control grips! My boss has given me a pretty strict deadline, but my boys and I couldn't come up with anything.$b$bNothing was working, so we decided to ""borrow"" one of their prototypes. I sent Wizzlecrank to the Sludge Fen to steal one, but he hasn't gotten back yet!","","0","0","0","0","0","0","0"
"2467","Come closer, young one.  In my time I could hear the flutter of a prey's beating heart, but now you must speak up if you want your words heard.","","0","0","0","0","0","0","0"
"2470","You killed Ghost Howl.  You're a stud!","","0","0","0","0","0","0","0"
"2471","I have run through these plains for many, many seasons.  And I have hunted great beasts.  And I had never been bested... until I faced Ghost Howl.$B$BLong ago, the massive wolf was an ally to the tauren and fought bravely against the Burning Legion.  But he was wounded savagely by a demon, and the tear in his flesh never healed.  Eventually... it drove Ghost Howl mad.$B$BNow he roams the plains in agony, seeking an end to his pain.  To my shame, when we fought I lacked the strength to slay him...","","0","0","0","0","0","0","0"
"2502","Greetings mage.  Shall I provide you with further insight into the world of magic?","Greetings mage.  Shall I provide you with further insight into the world of magic?","7","1","0","0","0","0","0"
"2503","Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.","Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.","7","1","0","0","0","0","0"
"2523","Greetings.  I'm a mage trainer, and you're a mage.","Greetings.  I'm a mage trainer, and you're a mage.","7","0","0","0","0","0","0"
"2524","Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.","Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.","0","1","0","0","0","0","0"
"2525","Greetings.  I'm a gnome mage trainer, and you're a mage.","Greetings.  I'm a gnome mage trainer, and you're a mage.","7","0","0","0","0","0","0"
"2526","Well met, $c.  You want some advice?  Befriend a mage!  We have a trick or two up our sleeves, we do...","Well met, $c.  You want some advice?  Befriend a mage!  We have a trick or two up our sleeves, we do...","0","1","0","0","0","0","0"
"2527","Greetings.  I'm an undead mage trainer, and you're a mage.","Greetings.  I'm an undead mage trainer, and you're a mage.","1","1","0","0","0","0","0"
"2528","Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.","Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.","1","1","0","0","0","0","0"
"2529","Greetings, $c.  Are you here to learn of the hidden arts?","Greetings, $c.  Are you here to learn of the hidden arts?","1","0","0","0","0","0","0"
"2530","Greetings, $c.  I pity your kind, for the secrets of true magic are beyond you...","Greetings, $c.  I pity your kind, for the secrets of true magic are beyond you...","1","0","0","0","0","0","0"
"2545","","It is not yet your time. I shall aid your journey back to the realm of the living... for a price.","0","0","0","0","0","0","0"
"2546","With the sanction of Lord Varimathras, the Deathstalkers' numbers grow. More blades to strike at our enemies when they least expect it.","With the sanction of Lord Varimathras, the Deathstalkers' numbers grow. More blades to strike at our enemies when they least expect it.","0","1","0","0","0","0","0"
"2588","What do you want, $c? I'm running late, and my employer doesn't look kindly on tardiness.","","0","1","0","0","0","0","0"
"2590","Yes, I am. What's it to you?","","0","1","0","0","0","0","0"
"2602","The Shattered Hand will see the Horde to their former glory, unhindered by the timidness of the Warchief.","The Shattered Hand will see the Horde to their former glory, unhindered by the timidness of the Warchief.","1","5","0","0","0","0","0"
"2660","Naralex sleeps again!$b$bLong ago, Naralex journeyed to this cavern with the honorable goal of entering the Emerald Dream and regrowing the Barrens into a lush forest. His focus waned and his thoughts became tainted by serpentine visions.$b$bNow, reptilian beasts seep from his dreams to the land. He must be awoken from the nightmare or he will be forever lost, and a great evil unleashed.$b$bOnly after his corrupted servants, the Fanglords, have been slain can I perform the awakening ritual.~~","","0","1","1","1","0","0","0"
"2661","The Fanglords are dead! All hope is not lost!$b$bThe awakening ritual is quite complex, however. It cannot be done alone.$b$bI will handle all of the necessary preparations but I will need you to protect me. The nightmares summoned from Naralex's journey through the Emerald Dream prove to be quite formidable. Without your help, this mission is doomed.$b$bWhen you are ready to defend me, say the word, and I shall lead the way to Naralex's chamber.","","0","1","1","1","0","0","0"
"2702","The machine adjusts to face you.$B$BOn the back of the machine is an empty, oddly misshapen slot with an engraving that reads: ""Propirtee o' Cap'n Gelkak Gyromast""","","0","0","0","0","0","0","0"
"2706","Hey!  Are you on an errand for Tirth?  If I were you I'd get as far away from him as I could!  His mind's been pickled from too much drink but his magic's as strong as ever!","","0","0","0","0","0","0","0"
"2721","Sure, I'll tell you the phrase.  As long as I don't have to go anywhere near Tirth!","","0","22","0","0","2000","0","0"
"2741","Gelkak's key slides into the vacant slot.","","0","0","0","0","0","0","0"
"2742","Do you mock me while I am unable to defend myself, bound to this ball of iron?","","1","25","0","0","0","0","0"
"2744","One of the humans has the key to this infernal contraption. Eston I think they said his name was.","","1","1","0","0","0","0","0"
"2745","Get away from here, $c, or they'll put you in chains as well.","","0","1","0","0","0","0","0"
"2747","Marlgen... One of the jailors. He has the key to my bonds.","","0","1","0","0","0","0","0"
"2750","The Bank of Stormwind is located in the Trade District just northwest of the city gates. Here, let me show you on your map.","The Bank of Stormwind is located in the Trade District just northwest of the city gates. Here, let me show you on your map.","7","0","0","0","0","0","0"
"2751","I wish the snow would just all melt away. It's always getting my robe wet and messing up everything!","","7","22","0","0","0","0","0"
"2752","Stupid snow... Hey, you're, $n, aren't you? I've just received a message asking for you.","","7","1","0","0","0","0","0"
"2754","You've been summoned by Lago Blackwrench, warlock master of Ironforge. You'd do yourself well to report to him immediately. You'll find him in the Forlorn Cavern district of the city.","","0","1","0","0","0","0","0"
"2755","Greetings $R, I am Tharnariun Treetender.","","0","0","0","0","0","0","0"
"2764","If you ask me, I think the goblins are a shoe in.  We have the tools, and we have the talent!","If you ask me, I think the goblins are a shoe in.  We have the tools, and we have the talent!","0","0","0","0","0","0","0"
"2765","If it weren't for that cursed, gnomish luck, they'd never win a race!","If it weren't for that cursed, gnomish luck, they'd never win a race!","0","0","0","0","0","0","0"
"2766","If I were you, I'd buy a goblin race voucher.  Rooting for the other team is a waste of time.","If I were you, I'd buy a goblin race voucher.  Rooting for the other team is a waste of time.","0","0","0","0","0","0","0"
"2767","My money's on the goblins!  And if you have any sense then yours is too!","My money's on the goblins!  And if you have any sense then yours is too!","0","0","0","0","0","0","0"
"2768","I heard they were going to try to blow up the gnome's car in the next race!  True or not, I'd stand clear of their pit area.","I heard they were going to try to blow up the gnome's car in the next race!  True or not, I'd stand clear of their pit area.","0","0","0","0","0","0","0"
"2773","Oh, you mean Johnson?  I heard he's in hiding.","Oh, you mean Johnson?  I heard he's in hiding.","0","0","0","0","0","0","0"
"2774","If it weren't for the goblins' inconceivable, dumb luck, they'd crash their car during every race!","If it weren't for the goblins' inconceivable, dumb luck, they'd crash their car during every race!","0","0","0","0","0","0","0"
"2775","These races are a great opportunity to show our ingenuity!","These races are a great opportunity to show our ingenuity!","0","0","0","0","0","0","0"
"2776","I installed a new device in our car's matrix regulometer.  That should increase its velocity quotient by a factor of no less than fifteen!","I installed a new device in our car's matrix regulometer.  That should increase its velocity quotient by a factor of no less than fifteen!","0","0","0","0","0","0","0"
"2777","My son could design a faster car than that clunky goblin junk heap! ","My son could design a faster car than that clunky goblin junk heap!","0","0","0","0","0","0","0"
"2778","My Gizmotic Almanacotron says that we should beat the goblins by twenty seconds more than we did last time!","My Gizmotic Almanacotron says that we should beat the goblins by twenty seconds more than we did last time!","0","0","0","0","0","0","0"
"2780","Tirth's not himself these days, and neither is his assistant.","Tirth's not himself these days, and neither is his assistant.","0","0","0","0","0","0","0"
"2781","Johnson?  I think he's around here somewhere...","Johnson?  I think he's around here somewhere...","0","0","0","0","0","0","0"
"2782","Hah!  Tirth's been looking for him for days, but he doesn't want to be found.  He's chicken!","Hah!  Tirth's been looking for him for days, but he doesn't want to be found.  He's chicken!","0","0","0","0","0","0","0"
"2801","At last! I am finally free from this cell!$b$bThe Kirin Tor sent me from Dalaran to investigate Arugal's progress with the undead here in Silverpine Forest. Little did we know that the wizard had lost his grasp on sanity.$b$bI must report this mess at once! But before I leave, allow me to undo the magical lock on the courtyard door.$b$bYou defeated Rethilgore, perhaps you will survive what lies beyond....","","0","0","0","0","0","0","0"
"2803","At last! Someone to free me from this cell!$b$bHigh Executor Hadrec sent us to gather information on the Keep so that a plan could be formulated to overthrow Arugal once and for all.$b$bBut the old wizard has many tricks up his sleeve and we were detected by a magical ward. I was thrown in this prison. Vincent was not so lucky.$b$bI must return to Hadrec to debrief him at once. But first I will pick the lock to the courtyard door for you. Perhaps you can try your luck against the foes that lurk beyond.","","0","0","0","0","0","0","0"
