DisplayId,ModelId,CreatureModelScale
4,4,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,0
18,18,1
19,19,0
20,20,1
21,22,1
22,22,1
23,23,1
26,26,1
30,30,0.4
31,31,1
33,33,1
38,38,1.15
39,39,1
40,40,1
42,42,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,1
59,59,1.35
60,60,1
62,62,1.3
64,64,1
65,65,1
68,68,1
69,69,1
71,71,1
73,73,1
74,22,1
79,79,1
80,80,1
86,22,1
87,22,1
88,22,1
89,89,1
91,91,1
92,92,1
93,93,1
94,94,1
95,95,1
96,96,1
97,97,1
98,98,1
99,99,1
100,100,1
101,22,1
102,102,1
103,103,1
104,104,1
105,105,1
106,22,1
107,107,1
108,108,1
109,109,1
110,110,1.5
112,112,1
113,113,1
115,53,1
123,123,1
125,125,1
126,22,1
127,127,1
128,128,1
129,129,1
130,130,1
134,134,1.3
137,45,1
138,40,1
139,26,1
140,39,1
141,1,1
143,47,1
145,8,1
146,9,1
148,12,1
149,16,1
150,25,1
151,28,1
152,29,1
157,36,1
158,70,1
159,37,1
160,41,1
161,43,1
162,93,1
163,26,1
164,126,1
165,43,1
166,105,1
167,42,1
168,2,1
169,24,1
170,35,2
171,69,1
172,3,1
173,107,1
174,10,1.1
175,123,1
176,50,1
177,47,1
178,38,1
179,27,1
180,34,0.6
181,47,1
182,47,1
184,16,1
186,99,1
188,31,1.1
190,108,1
191,19,1
193,66,1
194,42,1
195,42,1
196,47,1
197,125,1
198,108,1
200,70,0.85
201,70,1
202,44,1
203,44,1
204,122,1
207,217,1.2
208,16,1
210,16,1
211,102,1
212,105,1
213,97,1
214,102,1
215,94,1
218,22,1
221,79,1
224,100,1
225,96,1
226,107,1
227,103,1
228,96,1
229,65,1
231,16,1
232,97,1
235,65,1
236,65,1
237,65,1
238,65,1
239,65,1
240,112,1
242,101,1
243,17,1
244,113,1
245,76,1.25
246,73,1
247,217,1.2
251,79,1
252,80,1
257,80,1
258,109,1
262,79,1
263,108,1.1
267,101,1
268,11,1
269,10,0.95
275,10,1
277,108,1
278,109,1
280,23,1
282,104,1
283,30,1
285,97,1
286,105,1
295,791,1
298,119,1.25
299,118,1.25
300,16,1
301,74,1
302,50,1
304,111,1
308,74,1
309,74,1
310,74,1
312,53,1
314,116,1.25
316,119,1.25
317,116,1
320,82,1
321,82,1
322,34,1
326,33,1
327,93,1
328,114,1
330,98,1
332,47,1
336,63,1
337,118,1
338,79,1
341,74,1
342,132,1
344,80,1
346,31,1
347,124,1
348,130,1
351,127,1
352,131,1
355,10,1
358,81,1
360,81,1
363,47,1
365,26,0.85
366,63,0.55
367,71,0.85
368,30,0.55
369,31,0.8
370,70,1.3
371,26,1.5
372,43,0.65
373,26,1.15
374,10,1
375,99,1
376,123,1.3
377,66,0.6
378,71,1.1
379,71,1.15
380,43,0.85
381,66,0.75
382,63,0.4
383,10,1.15
384,123,1.15
385,31,0.9
386,31,1.75
387,6,0.85
388,61,1.3
389,66,0.75
390,18,0.5
391,31,2
397,6,1.5
399,6,2.25
400,6,1.75
410,61,0.85
413,122,1.15
414,45,1.3
415,32,1
416,32,1.6
418,30,0.7
423,94,1
424,94,1
425,94,0.75
427,96,0.8
428,102,1
429,103,1
430,102,1.15
433,68,0.5
441,31,1
447,43,0.4
448,32,1.75
453,69,0.6
456,112,1.5
457,6,2
459,107,1.2
467,78,1
470,81,1
471,82,1.5
473,84,1
478,31,1.75
479,90,1
480,2,2
481,91,1
482,92,1
483,11,1
486,31,1.15
487,10,1
488,10,1.3
489,123,1
490,61,0.75
491,122,1.15
492,122,1.15
493,123,1.3
494,10,1.3
495,112,1.2
496,112,1.1
497,6,1
498,63,0.5
499,66,1.1
500,123,1.15
501,123,1.5
502,122,1.3
503,66,0.6
504,31,0.9
505,6,1.15
506,31,1.75
507,61,2
508,16,1.1
511,26,1.5
512,123,0.85
513,30,0.4
514,71,0.85
515,16,0.9
516,113,1.05
517,112,1.2
518,70,1.75
519,45,1.15
520,63,0.7
522,44,1.3
523,44,1.75
524,44,1.15
525,110,0.85
527,31,0.85
528,123,1.1
529,31,1.05
531,31,0.9
533,70,1.3
534,105,1
535,70,1
536,32,1.75
538,30,0.5
539,30,0.75
540,31,1.3
543,123,1.3
544,123,1.2
545,30,0.85
546,45,1.05
547,45,1.2
548,71,1.3
549,69,0.5
550,10,0.85
551,10,1.15
553,112,1.3
555,16,1.1
556,74,1
557,43,1.15
558,10,1.5
559,45,1.15
560,96,0.9
561,22,0.9
563,44,1.6
564,44,1.45
565,113,1.1
566,63,0.9
567,16,1.1
568,11,1.15
569,45,1.15
570,45,1.15
571,45,1.5
574,44,1.3
575,16,1.05
576,16,1.05
578,105,1.2
580,11,1.4
584,74,0.95
585,88,1.17
586,74,0.9
588,128,1
589,111,10
590,116,1.5
591,117,1.5
592,119,1.5
593,117,1.25
597,32,1.6
598,82,0.85
599,82,1
601,1,0.85
603,123,1.5
604,43,0.55
605,42,0.8
606,41,0.55
607,66,0.6
609,123,1.3
610,32,1.3
611,41,0.7
612,70,1.15
613,82,1.45
614,82,1.3
615,34,1.15
616,82,1.5
617,31,0.85
621,6,1.5
622,6,1.75
623,47,1.1
624,47,1.2
625,47,1.5
627,31,1.2
628,29,0.85
631,2,1.3
632,82,1.15
633,82,1.15
634,119,1
636,42,0.9
637,104,1.1
638,107,0.9
641,132,0.85
643,43,0.85
644,43,0.65
646,45,0.85
647,43,0.65
648,34,0.85
649,34,0.85
651,63,0.45
652,31,1.5
654,124,0.6
655,32,1.45
656,74,1.1
657,44,0.85
658,108,0.9
659,30,0.8
660,99,1.1
661,42,0.8
662,123,1.15
664,31,1.35
665,119,1
666,43,0.75
667,10,0.9
668,10,1.2
670,34,0.55
671,34,0.6
672,34,0.6
673,34,0.7
674,34,0.55
675,34,0.6
676,34,0.65
677,34,0.7
679,31,0.9
680,31,0.9
681,81,2
682,81,1.5
691,117,1.5
692,116,1.5
693,117,1.75
694,6,1
695,34,0.75
696,95,0.5
697,2,1.5
698,82,1.15
699,132,1.5
703,66,1.3
704,66,1
705,76,1.5
706,83,1.3
707,83,1
709,63,0.4
711,30,0.55
713,2,1
714,10,1.15
715,6,1.3
716,47,1.3
719,83,0.85
720,73,1
721,41,1.3
722,41,1.15
723,41,0.9
726,41,0.85
729,44,1
730,41,0.7
732,70,1
733,70,1.15
734,70,1.15
735,70,1.2
736,44,1.15
741,73,1.15
742,42,1.2
743,42,0.9
744,66,1
748,82,0.7
749,82,1
751,95,1
752,93,1
753,95,1
754,109,1
755,34,1
757,31,1.3
759,63,0.7
760,63,0.55
762,83,1.15
763,41,0.85
764,41,0.7
765,41,1
767,81,1.15
768,30,0.5
774,26,1.3
775,70,1.5
776,43,1.3
780,43,1
781,43,0.85
782,43,1.15
783,43,0.9
784,43,0.9
785,43,0.7
787,34,0.7
788,34,1.15
790,104,1
791,35,1
792,136,4.5
793,128,1
794,129,1
795,108,1
796,129,1
797,127,1
798,1,1.3
800,62,2
801,43,0.85
802,43,1
803,53,1
806,83,1
807,137,1
809,136,1.15
810,16,1
814,137,0.85
815,137,1.15
816,104,1.1
820,83,1.15
821,63,0.85
822,83,1
824,53,1
825,53,1
827,63,0.55
828,45,1
829,45,0.9
830,41,1.15
831,137,0.55
832,53,1
833,137,0.85
834,137,0.9
835,137,0.9
836,131,1.5
837,136,1
838,136,1
839,136,1
840,136,1.15
841,136,0.8
842,136,0.7
843,136,0.75
844,136,1.15
845,136,0.75
846,133,1.5
847,10,0.85
848,10,1
850,139,0.5
852,31,0.75
853,31,0.8
855,43,0.4
856,140,1
857,140,1
858,10,1.15
859,10,1.5
860,67,0.33
862,2,0.75
863,2,1
864,141,1
865,83,1.3
867,133,1
868,43,1
869,43,1
870,53,1
876,77,1
883,12,0.9
892,1231,0.9
897,8,1
900,94,0.9
901,142,1
902,83,0.85
903,43,0.7
904,11,1
907,49,1
908,143,1
909,63,0.5
910,63,0.6
911,11,1
913,83,1
915,144,1
917,82,1.5
918,82,0.8
924,145,1
925,137,0.7
927,146,0.95
929,146,0.55
931,146,0.85
933,146,0.9
934,146,1.05
935,792,1.15
936,8,1.2
937,8,1.1
945,34,0.65
947,112,0.9
948,34,0.8
949,34,0.85
950,146,0.7
953,149,1
954,82,0.85
955,30,0.7
956,6,1
957,30,0.25
958,30,0.55
959,30,0.55
960,34,0.55
961,34,1.3
963,30,1
964,100,1
965,10,1.2
967,12,0.8
968,12,0.9
969,12,1
970,12,1.1
971,12,1.2
972,12,1.3
974,12,1.5
975,84,0.9
976,41,1
979,132,1
981,132,1
982,83,1.15
983,31,1
984,144,1.15
985,144,0.75
986,10,0.95
987,45,1
990,41,0.85
991,41,0.7
992,133,1
993,133,1.1
994,133,1.15
995,133,1.3
996,132,0.75
997,132,0.75
998,132,0.8
999,132,0.85
1000,132,0.85
1001,132,1.15
1004,76,1
1005,31,0.85
1006,83,0.85
1007,83,1.15
1008,82,0.85
1010,8,1
1011,8,1.1
1012,8,1.5
1013,78,0.85
1014,78,0.85
1015,11,1.15
1016,11,0.75
1017,11,1.2
1018,11,1.75
1019,70,0.85
1021,150,1
1023,151,1
1025,152,1
1027,57,1
1029,58,1
1030,73,0.85
1031,42,0.75
1032,42,0.75
1034,137,0.4
1035,137,0.4
1036,137,0.55
1037,137,0.6
1038,137,1
1039,137,0.7
1040,38,0.7
1041,38,0.8
1042,38,0.85
1043,82,1
1045,32,1
1048,98,1
1049,96,1
1050,146,1
1051,32,1.6
1052,32,1.15
1054,32,1.3
1055,82,1.3
1056,82,1
1057,210,1.1
1058,82,1.15
1059,82,0.85
1060,155,1
1061,156,1
1062,157,1
1063,158,1
1064,159,1
1065,45,1
1067,88,1
1068,69,0.85
1070,160,1
1072,161,1
1073,1,0.2
1074,1,0.85
1075,1,0.6
1076,146,0.85
1077,146,0.9
1078,146,1.15
1079,31,1.5
1080,137,0.7
1081,2,0.3
1082,83,1.5
1083,83,1.5
1084,2,1
1086,2,1.3
1087,30,0.85
1088,30,1
1089,30,1.15
1090,30,1
1091,63,1
1092,62,1
1094,136,1.5
1095,82,2
1097,72,0.5
1098,44,1.45
1099,35,3
1100,43,0.7
1101,131,1
1102,84,1
1103,63,0.85
1104,63,1.15
1105,61,1.15
1106,61,1.5
1107,16,1
1108,69,0.6
1109,69,0.75
1110,42,1
1114,42,0.95
1115,42,1
1120,32,1.9
1122,32,1.1
1125,40,1
1126,24,0.5
1127,69,0.4
1128,69,0.3
1129,69,0.15
1130,162,1
1131,162,0.6
1132,162,0.8
1133,35,1.5
1134,35,1.75
1135,35,1.3
1136,35,2
1137,35,2.5
1138,128,1
1139,51,1
1140,164,1
1141,165,1
1142,42,1.05
1143,42,1.1
1144,42,1.05
1145,81,1.15
1146,81,1.75
1147,792,0.8
1148,792,1.3
1149,792,1
1150,71,0.4
1151,42,1.15
1152,42,1.1
1153,42,1.15
1154,42,1.1
1155,42,1.2
1156,42,1.2
1157,30,1
1159,72,0.4
1160,30,0.1
1161,69,0.85
1162,69,1
1163,40,1
1164,43,1.3
1165,39,1
1166,217,1.2
1167,66,1.5
1170,65,1.5
1176,11,0.8
1185,11,0.85
1192,61,1
1193,41,1.35
1194,41,1.5
1196,167,1.15
1197,167,1
1198,167,1
1200,168,1
1201,168,1
1202,168,1
1204,160,1.5
1206,170,1
1207,43,1.15
1208,66,1.15
1210,61,2
1213,11,0.5
1214,128,1
1216,123,0.85
1217,122,0.85
1218,145,0.8
1219,38,0.7
1220,38,0.85
1221,38,0.85
1222,43,0.95
1223,12,1.1
1225,12,1
1226,3,0.9
1228,61,0.7
1229,61,0.85
1230,27,1
1231,27,1.2
1232,27,1.5
1233,164,1
1236,171,0.8
1237,12,1
1241,27,1.3
1244,173,1
1245,174,1
1246,172,0.55
1247,172,1.5
1248,172,0.7
1250,137,0.4
1251,137,0.5
1252,145,0.9
1253,145,1.25
1254,145,0.9
1255,12,1
1256,12,1.15
1258,3,1
1259,34,0.65
1260,112,1.15
1261,50,1
1262,117,1.25
1267,175,1
1269,176,1
1274,145,1
1275,51,1
1276,49,1
1277,53,1
1278,57,1
1279,127,1
1280,53,1
1281,38,1
1282,53,1
1283,38,1.3
1284,38,1.15
1285,55,1
1286,54,1
1287,50,1
1288,49,1
1289,49,1
1290,49,1
1291,49,1
1292,49,1
1293,49,1
1294,49,1
1295,50,1
1296,50,1
1297,50,1
1298,49,1
1299,49,1
1300,50,1
1302,164,1.5
1303,176,0.75
1304,164,1.8
1305,31,1.3
1306,81,1.5
1307,132,0.7
1308,27,1.5
1309,27,1.4
1310,51,1
1311,51,1
1312,52,1
1313,51,1
1314,51,1
1315,51,1
1316,51,1
1317,51,1
1318,51,1
1319,52,1
1320,51,1
1321,51,1
1322,60,1.2
1323,51,1
1324,51,1
1325,52,1
1326,51,1
1327,51,1
1328,51,1
1329,51,1
1330,51,1
1331,51,1
1332,51,1
1333,52,1
1334,51,1
1335,51,1
1336,75,1
1337,34,1
1338,34,0.8
1339,34,1.5
1340,34,1.15
1341,145,1.3
1342,145,1.3
1343,145,1.2
1344,145,1.25
1345,145,1.35
1346,145,1.1
1348,3,1.1
1349,3,1.2
1350,12,1.15
1351,12,0.85
1352,12,1.3
1354,53,1
1355,53,1
1356,49,1
1357,49,1
1358,52,1
1359,51,1
1360,52,1
1361,50,1
1362,53,1
1363,53,1
1364,49,1
1366,51,1
1367,52,1
1368,51,1
1369,51,1
1370,51,1
1371,51,1
1372,51,1
1373,51,1
1374,51,1.1
1375,51,1
1376,53,1
1377,51,1
1378,52,1
1379,51,1
1380,52,1
1381,52,1
1382,51,1
1383,51,1
1384,51,1
1385,51,1
1386,51,1
1387,51,1
1388,51,1
1389,52,1
1390,51,1
1391,51,1
1392,51,1
1393,51,1
1394,51,1
1395,51,1
1396,53,1
1397,62,1
1398,53,1
1399,53,1
1400,53,1
1401,54,1
1402,53,1
1403,49,1
1404,54,1
1405,160,0.6
1406,53,1
1407,54,1
1408,49,1
1409,53,1
1410,53,1
1411,53,1
1412,164,0.75
1413,53,1
1415,58,4
1416,53,1
1417,53,1
1418,165,1
1420,145,1.4
1421,181,0.7
1423,49,1
1424,49,1
1425,49,1
1426,49,1
1427,49,1
1428,49,1
1429,49,1
1430,49,1
1431,49,1
1432,49,1
1433,49,1
1434,49,1
1435,49,1
1436,49,1
1437,49,1
1438,49,1
1439,50,1
1440,50,1
1441,50,1
1442,50,1
1443,50,1
1444,50,1
1445,50,1
1446,50,1
1447,50,1
1448,50,1
1449,50,1
