Entry,DisplayId
17,7016
25,1542
35,472
36,5194
37,14029
38,9891
39,9892
40,10141
41,4553
42,4562
43,9938
44,9937
45,3265
46,4528
47,9915
48,9913
49,9906
50,4535
51,9946
52,9945
53,9944
54,4541
55,9929
56,12647
57,12645
58,4499
59,3261
60,16891
61,16953
77,2645
79,16847
80,16854
85,16883
86,4525
87,261
88,374
89,7848
90,4519
91,368
92,249
93,369
94,4522
95,242
97,12662
98,4524
99,257
100,372
101,373
102,4523
103,5901
104,370
105,371
113,365
114,245
115,4517
117,2473
118,15710
119,5702
120,10006
121,10008
122,4538
123,383
124,3268
125,3269
126,4543
127,9996
128,396
129,9977
130,4572
131,4542
132,295
133,7912
134,387
135,386
136,311
137,4540
138,9346
139,9988
140,9992
141,4507
143,2080
146,4544
147,9975
148,9976
149,4569
150,392
151,393
152,4570
153,10050
154,10058
155,4571
156,394
157,395
159,18084
182,7038
184,362
192,5279
193,16579
194,16580
195,16582
200,16777
201,16778
202,16780
203,16779
209,17140
210,14444
236,14278
237,14476
238,14474
239,14475
285,16101
286,10400
287,12745
414,21904
422,6352
527,7090
537,6629
555,11206
556,6625
647,20190
710,16936
711,16581
714,14445
718,6986
719,16970
720,2368
723,7369
724,6385
725,6671
727,26577
728,1102
729,7407
730,7394
731,8802
732,7395
733,6428
734,7093
735,7093
737,926
738,1297
739,11994
740,11998
741,7391
742,928
743,929
744,18059
745,1102
746,3865
748,1102
750,1116
751,1515
752,1272
753,20094
754,20218
755,6677
756,6264
759,942
761,1208
763,17007
765,18088
766,19621
767,20443
768,5012
769,6348
770,6630
771,1225
772,7066
773,7137
774,6663
776,6452
777,959
778,6259
779,7714
780,6628
781,19644
782,1329
783,6687
784,1438
785,7341
786,7391
787,24697
788,5750
789,19699
790,19401
791,20334
792,16855
793,14449
794,14450
795,14154
796,22973
797,17068
798,22972
799,2106
804,2588
805,2586
806,2585
807,7356
808,7353
809,20033
810,19726
811,19137
812,20257
813,6618
814,18084
816,6472
818,6613
820,6470
821,17102
823,7014
826,19271
827,3498
828,2584
829,1272
832,6847
833,22978
835,1007
836,1007
837,14466
838,14468
839,14467
840,16821
841,1270
842,7015
843,14470
844,2101
845,9640
846,14472
847,1019
848,697
849,6869
850,6871
851,22077
852,8287
853,22102
854,22147
855,1281
856,1025
857,4056
858,15711
859,9880
860,3443
862,18397
863,19213
864,26579
865,5212
866,20357
867,17180
868,19713
869,5163
870,33458
871,19235
872,19242
873,20298
875,6423
876,1680
877,7099
878,9200
880,20382
883,7088
884,6368
885,8494
886,20093
887,6680
888,17182
889,3022
890,20386
892,16950
893,959
894,6642
895,7103
896,959
897,17011
898,959
899,6459
900,7014
901,7014
902,7014
903,7014
905,1057
906,1058
907,6480
908,6545
909,6557
910,3024
911,28628
913,20170
914,2829
915,1272
916,7589
917,1080
918,1283
920,19703
921,7588
922,22097
923,22080
924,22131
925,4351
926,22108
927,22106
928,22151
929,15712
930,1283
931,1183
932,6430
933,1282
934,19405
