ID,Category,RecoveryTime,CategoryRecoveryTime
11,44,0,60000
16,0,30000,0
17,56,0,4000
43,0,600000,0
45,32,0,0
47,44,0,300000
56,32,0,0
68,1,10000,0
71,47,0,1000
72,88,0,12000
76,65,0,0
87,40,0,10000
89,0,30000,0
91,65,0,30000
100,44,0,15000
101,32,0,5000
103,0,60000,0
109,37,0,600000
110,0,60000,0
111,0,60000,0
112,0,60000,0
114,99,0,1000
120,50,0,10000
122,35,0,25000
124,52,0,10000
134,21,0,15000
179,99,0,1000
184,21,0,15000
246,51,0,10000
255,17,0,10000
260,1,0,0
271,0,0,120000
278,40,0,10000
279,40,0,10000
302,65,0,30000
355,82,0,10000
379,55,0,10000
408,270,0,20000
409,37,0,600000
410,37,0,600000
411,37,0,600000
421,85,0,6000
424,72,0,600000
430,59,0,60000
431,59,0,60000
432,59,0,60000
433,11,0,60000
434,11,0,60000
435,11,0,60000
436,4,0,60000
437,4,0,60000
438,4,0,60000
439,4,0,10000
440,4,0,10000
441,4,0,10000
450,0,30000,0
451,32,0,30000
454,0,30000,0
455,62,0,360000
457,22,0,10000
466,38,0,0
474,22,0,10000
498,37,0,300000
500,35,0,120000
503,37,0,600000
507,22,0,10000
509,22,0,10000
513,23,0,600000
543,56,0,30000
553,55,0,10000
555,23,0,600000
556,511,0,900000
568,1152,0,0
586,82,0,30000
590,99,0,1000
592,56,0,4000
593,22,0,60000
595,54,0,600000
599,99,0,1000
600,56,0,4000
603,0,60000,0
629,99,0,1000
630,99,0,1000
633,56,0,3600000
634,54,0,10000
637,21,0,10000
638,54,0,10000
640,17,0,10000
641,17,0,10000
642,37,0,300000
644,54,0,10000
646,21,0,10000
676,109,0,60000
677,41,0,240000
678,40,0,10000
679,40,0,10000
680,40,0,10000
684,60,0,60000
692,32,0,60000
694,40,0,120000
708,0,0,600000
711,35,0,6000
724,1145,0,600000
740,46,0,300000
742,0,600000,0
743,95,0,600000
745,34,0,0
748,40,0,10000
749,65,0,30000
751,40,0,10000
752,40,0,10000
753,65,0,30000
756,31,0,30000
757,31,0,60000
761,18,0,12000
762,18,0,12000
