SpellId,SpellXSpellVisualId
7,236655
10,236656
11,236657
13,236664
14,236613
17,242477
18,236757
25,236687
27,236688
31,236789
33,236774
34,236665
35,236666
43,236667
45,236668
47,236669
49,236670
53,236721
56,236827
59,236828
60,236829
61,236830
65,236831
66,236832
67,236632
71,236644
72,236966
78,236771
87,236772
89,236708
91,240777
96,236720
99,236654
100,236773
101,236689
110,236728
112,236729
113,236652
116,236663
118,244814
120,242838
122,236777
126,236634
128,236635
130,236636
131,242285
132,236637
133,236677
134,236584
136,236624
139,236614
142,236615
143,236678
145,236679
168,241363
172,236600
184,236602
205,237109
228,236645
246,236646
261,236658
265,237110
269,237111
271,237112
284,237026
285,236782
324,237091
325,241977
331,237092
332,237093
339,236743
348,237005
355,237006
370,237008
379,237009
403,236603
408,236760
421,236764
427,236970
428,236599
430,236924
431,236925
432,236926
433,236680
434,241636
435,236927
436,242509
437,236759
438,236784
439,236785
440,236786
441,236787
442,236788
443,236740
444,236741
445,236742
446,236616
447,236617
453,236775
457,236769
458,236755
459,236594
461,236588
463,236609
465,236710
467,236659
468,236660
469,236661
470,236810
471,236811
472,236812
475,237070
483,236611
491,236690
498,236631
512,236625
515,242286
526,236768
527,236813
528,236814
529,236928
543,236583
546,236682
547,236683
548,236684
550,236750
552,236751
555,236676
556,236618
563,236859
568,237015
578,236692
579,236693
580,236694
581,236648
585,236649
586,236650
587,236651
588,236997
589,236715
591,236738
592,244764
594,236752
596,236749
597,236604
598,236605
600,241697
602,236791
603,236726
604,236944
605,236945
606,236792
611,236696
633,236598
635,236699
639,236765
642,236704
643,241744
647,236868
673,237001
676,237010
686,236865
687,236879
688,236653
689,236736
691,236990
692,236991
693,236817
694,242769
695,236857
696,236823
697,236840
698,236841
699,237494
700,236881
701,236882
702,243557
703,236918
704,242003
705,243032
706,241571
707,236866
709,236867
710,242305
712,237016
720,237100
724,236748
731,237011
739,237800
740,237495
742,237497
744,237498
745,236913
746,236914
755,237037
759,237020
768,237313
769,237329
770,237330
772,236888
774,237241
778,237610
779,236843
780,236861
781,236862
782,236935
783,236878
785,236896
799,236922
802,236939
804,236869
806,236904
818,236860
823,236850
829,237069
830,236903
833,236877
834,237017
835,237103
837,236956
845,236980
851,241406
853,236820
857,236981
865,237046
871,237023
879,237012
883,237004
886,237349
897,237263
898,237264
905,237087
913,236801
915,236889
921,236796
930,236863
932,236892
939,237067
943,236936
945,241717
959,237266
970,237799
974,237543
976,237563
980,241625
982,236806
984,236808
988,237453
990,237455
992,241192
996,237791
1002,236940
1004,236942
1006,241117
1008,236998
1010,236999
1014,237351
1020,237108
1022,237774
1026,236853
1032,241271
1038,237776
1042,236907
1044,237084
1050,237289
1058,237679
1062,237356
1064,237358
1066,237522
1075,237128
1079,241424
1082,237248
1086,237632
1088,237279
1090,237302
1094,236899
1098,237777
1106,237667
1108,237113
1120,237830
1121,237755
1122,237139
1126,238034
1127,237671
1129,237807
1130,237613
1131,237614
1132,237615
1133,237616
1135,237728
1137,241709
1138,236964
1139,236804
1152,237831
1159,237448
1160,237449
1161,237238
1234,237545
1243,237571
1244,237220
1245,237629
1302,237480
1329,237355
1350,237559
1364,237452
1373,237474
1413,237691
1430,237052
1446,237163
1449,237417
1454,237177
1455,237433
1456,237199
1459,237295
1460,237296
1461,237670
1462,237239
1463,237664
1464,237685
1485,324630
1490,237095
1494,237724
1495,237422
1499,237590
1509,238035
1510,238036
1513,237770
1515,238368
1535,237585
1536,237602
1538,237603
1539,237604
1543,237829
1579,237759
1588,237561
1604,237816
1608,237742
1609,237765
1650,237404
1664,237732
1665,237733
1666,237734
1669,237658
1671,237175
1672,237176
1680,237423
1706,237562
1710,237583
1714,236974
1715,237823
1719,242226
1725,237434
1735,237127
1747,238480
1748,238411
1749,238243
1750,238502
1751,238503
1752,238134
1757,237428
1758,237429
1759,238023
1760,237143
1766,237200
1767,237215
1768,237216
1769,237217
1776,237202
1777,237692
1784,237504
1785,237557
1786,237470
1787,237490
1791,237509
1795,237643
1796,237644
1797,237645
1798,237666
1800,237633
1804,237781
1809,237054
1810,237055
1822,238493
1823,238384
1824,238204
1825,237178
1831,238661
1833,238504
1834,238244
1842,237191
1848,237882
1850,237884
1853,238478
1856,238382
1857,238515
1881,237347
1906,238419
1936,237430
1940,237233
1943,238323
1949,238276
1950,238230
1953,238512
1966,245415
1978,237190
1991,238642
2000,237228
2006,237723
2008,238263
2010,238355
2020,237254
2021,237255
2023,237398
2024,237399
2048,238261
2050,238437
2052,238439
2053,238458
2054,238304
2055,238305
2060,237159
2061,237160
2062,237225
2070,238447
2075,238448
2090,238392
2091,238453
2094,237612
2096,238422
2098,237344
2110,237205
2118,237383
2119,237403
2120,237910
2121,238185
2136,238474
2137,238394
2138,237923
2139,238000
2140,238001
2149,238407
2152,238408
2153,238425
2154,238426
2155,238495
2156,238200
2157,238201
2158,237894
2159,237895
2160,238167
2161,238168
2162,237879
