ID,ContinentID,X,Y,Z
1,0,-8888,0,94
2,0,-8840,489,109
3,0,16391,16341,69
4,0,-10629,1036,34
5,0,-9429,-2231,68
6,0,-4821,-1155,502
7,0,-3792,-783,9
8,0,-5421,-2930,347
9,0,-14271,299,31
10,0,478,1536,131
11,0,1568,267,-43
12,0,-10515,-1261,41
13,0,0,-859,58
14,0,-711,-515,26
15,0,2253,-5344,83
16,0,-1240,-2515,22
17,0,-916,-3496,70
18,0,-14444,509,26
19,0,-14473,464,36
20,0,-12414,146,3
21,0,-6633,-2180,244
22,1,-1197,29,176
23,1,1677,-4315,61
24,0,-6666,-2222,278
25,1,-441,-2596,96
26,1,6341,557,16
27,1,8643,841,23
28,1,2827,-289,107
29,1,966,1040,104
30,1,-5407,-2414,90
31,1,-4491,-775,-39
32,1,-3825,-4516,10
33,1,2681,1461,232
34,1,-1965,-5824,-1
35,1,1320,-4649,21
36,0,-8644,433,59
37,1,139,1325,193
38,1,-1767,3263,4
39,1,-7223,-3734,8
40,1,-7048,-3780,10
41,1,-4373,3338,12
42,1,-4419,199,25
43,0,283,-2002,194
44,1,3661,-4390,113
45,0,-11112,-3435,79
46,0,-986,-547,-3
47,0,-12418,235,1
48,1,5068,-337,367
49,1,7458,-2487,462
50,0,0,0,0
51,0,0,0,0
52,1,6796,-4742,701
53,1,6813,-4611,710
54,1,-4203,3284,-12
55,1,-3147,-2842,34
56,0,-10456,-3279,21
57,1,8701,991,14
58,1,3374,996,5
59,30,574,-46,37
60,30,-1335,-319,90
61,1,2302,-2524,104
62,1,7793,-2403,489
63,1,7787,-2404,489
64,1,2721,-3880,100
65,1,6205,-1949,571
66,0,931,-1430,64
67,0,2271,-5340,87
68,0,2327,-5286,81
69,1,7470,-2123,492
70,0,-7504,-2187,165
71,0,-8364,-2738,185
72,1,-6811,836,49
73,1,-6761,772,88
74,0,-6552,-1168,309
75,0,-6554,-1100,309
76,0,-635,-4720,5
77,1,-2380,-1882,95
78,0,3133,-3399,139
79,1,-6113,-1142,-187
80,1,-894,-3773,11
81,131074,0,0,0
82,530,9375,-7165,9
83,530,7594,-6784,86
84,0,2998,-3050,117
85,0,3109,-4285,109
86,0,2499,-4742,93
87,0,1857,-3658,143
88,530,-4284,-11194,13
89,0,0,0,0
90,9770568,0,0,0
91,530,-3996,-11892,0
92,530,-3679,-11413,310
93,530,-1933,-11954,57
94,530,-4054,-11793,9
95,530,-146,5532,30
96,530,-145,5533,30
97,530,-3968,-11929,-1
98,530,-2662,-12144,16
99,530,228,2633,87
100,530,-673,2717,94
101,530,199,4241,121
102,530,-587,4101,91
103,530,-1810,8032,-25
104,530,-1824,8049,-26
105,530,-1513,8140,-19
106,530,-1511,8149,-18
107,530,-1387,7782,-11
108,530,-1376,7771,-10
109,530,-1656,7724,-15
110,530,-1658,7724,-15
111,530,9335,-7883,74
112,530,9335,-7809,136
113,530,-1544,8792,35
114,530,-1544,8792,35
115,560,2384,1169,66
116,560,2014,239,68
117,530,213,6063,148
118,530,219,7816,22
119,530,-2729,7305,88
120,530,-1261,7133,57
121,530,-2987,3872,9
122,530,3082,3596,144
123,530,-3018,2557,79
124,530,-3982,2156,105
125,530,2183,6794,183
126,530,2446,6020,154
127,530,-2567,4423,39
128,530,-1837,5301,-12
129,530,-327,1020,54
130,530,-178,1026,54
131,530,-25,2133,112
132,530,-25,2133,112
133,530,-673,1855,68
134,530,-673,1855,68
135,530,-27,2126,111
136,530,-27,2126,111
137,530,298,1501,-14
138,530,298,1501,-14
139,530,4157,2959,352
140,530,-3065,749,-10
141,530,-1316,2358,88
142,530,-29,2125,111
143,1,-8360,-4327,-208
144,1,-8162,-4796,35
145,530,3079,3599,144
146,530,2235,2793,128
147,530,509,1988,109
148,530,298,1501,-14
149,530,276,1486,-15
150,530,2974,1848,141
151,530,91,5214,23
152,530,4262,2136,139
153,530,4266,2133,138
154,0,20047,5200,19742
155,530,4267,2133,138
156,530,1857,5531,277
157,530,2277,5983,142
158,530,2278,5983,142
159,530,-4073,1123,42
160,530,2976,5501,143
161,654135852,0,0,0
162,530,-4100,950,22
163,530,2028,4705,150
164,530,966,7399,29
166,1,3978,-1316,250
167,1,3000,-3202,189
168,1,2999,-3202,189
169,530,-5224,631,48
170,530,-5185,172,-11
171,530,-3364,3650,284
172,530,2531,7322,373
173,530,-5141,620,82
174,530,-1636,5275,-41
179,1,-4566,-3226,34
180,1,-3822,-4511,10
181,1,-3822,-4509,10
195,0,-11343,-216,75
197,1,2066,-4999,251
198,1,1340,-4631,54
201,451,15992,-16371,76
202,451,15991,-16371,76
205,530,6789,-7747,126
206,1,-4348,2427,6
209,530,13008,-6911,9
210,530,13008,-6912,9
211,530,13007,-6911,9
212,530,13188,-7047,4
213,530,13012,-6908,9
220,530,3051,3690,142
